circuitId,circuitName,country,lat,locality,long,url
monza,Autodromo Nazionale di Monza,Italy,45.6156,Monza,9.28111,https://en.wikipedia.org/wiki/Monza_Circuit
mosport,Mosport International Raceway,Canada,44.0481,Ontario,-78.6756,https://en.wikipedia.org/wiki/Canadian_Tire_Motorsport_Park
mugello,Autodromo Internazionale del Mugello,Italy,43.9975,Mugello,11.3719,https://en.wikipedia.org/wiki/Mugello_Circuit
nivelles,Nivelles-Baulers,Belgium,50.6211,Brussels,4.32694,https://en.wikipedia.org/wiki/Nivelles-Baulers
nurburgring,Nürburgring,Germany,50.3356,Nürburg,6.9475,https://en.wikipedia.org/wiki/N%C3%BCrburgring
okayama,Okayama International Circuit,Japan,34.915,Okayama,134.221,https://en.wikipedia.org/wiki/Okayama_International_Circuit
pedralbes,Circuit de Pedralbes,Spain,41.3903,Barcelona,2.11667,https://en.wikipedia.org/wiki/Pedralbes_Circuit
pescara,Pescara Circuit,Italy,42.475,Pescara,14.1508,https://en.wikipedia.org/wiki/Pescara_Circuit
phoenix,Phoenix street circuit,USA,33.4479,Phoenix,-112.075,https://en.wikipedia.org/wiki/Phoenix_street_circuit
portimao,Autódromo Internacional do Algarve,Portugal,37.227,Portimão,-8.6267,https://en.wikipedia.org/wiki/Algarve_International_Circuit
red_bull_ring,Red Bull Ring,Austria,47.2197,Spielberg,14.7647,https://en.wikipedia.org/wiki/Red_Bull_Ring
reims,Reims-Gueux,France,49.2542,Reims,3.93083,https://en.wikipedia.org/wiki/Reims-Gueux
ricard,Circuit Paul Ricard,France,43.2506,Le Castellet,5.79167,https://en.wikipedia.org/wiki/Circuit_Paul_Ricard
riverside,Riverside International Raceway,USA,33.937,California,-117.273,https://en.wikipedia.org/wiki/Riverside_International_Raceway
rodriguez,Autódromo Hermanos Rodríguez,Mexico,19.4042,Mexico City,-99.0907,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
sebring,Sebring International Raceway,USA,27.4547,Florida,-81.3483,https://en.wikipedia.org/wiki/Sebring_International_Raceway
sepang,Sepang International Circuit,Malaysia,2.76083,Kuala Lumpur,101.738,https://en.wikipedia.org/wiki/Sepang_International_Circuit
shanghai,Shanghai International Circuit,China,31.3389,Shanghai,121.22,https://en.wikipedia.org/wiki/Shanghai_International_Circuit
silverstone,Silverstone Circuit,UK,52.0786,Silverstone,-1.01694,https://en.wikipedia.org/wiki/Silverstone_Circuit
sochi,Sochi Autodrom,Russia,43.4057,Sochi,39.9578,https://en.wikipedia.org/wiki/Sochi_Autodrom
spa,Circuit de Spa-Francorchamps,Belgium,50.4372,Spa,5.97139,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
suzuka,Suzuka Circuit,Japan,34.8431,Suzuka,136.541,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course
tremblant,Circuit Mont-Tremblant,Canada,46.1877,Quebec,-74.6099,https://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
valencia,Valencia Street Circuit,Spain,39.4589,Valencia,-0.331667,https://en.wikipedia.org/wiki/Valencia_Street_Circuit
vegas,Las Vegas Strip Street Circuit,USA,36.1147,Las Vegas,-115.173,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit
villeneuve,Circuit Gilles Villeneuve,Canada,45.5,Montreal,-73.5228,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
watkins_glen,Watkins Glen,USA,42.3369,New York State,-76.9272,https://en.wikipedia.org/wiki/Watkins_Glen_International
yas_marina,Yas Marina Circuit,UAE,24.4672,Abu Dhabi,54.6031,https://en.wikipedia.org/wiki/Yas_Marina_Circuit
yeongam,Korean International Circuit,Korea,34.7333,Yeongam County,126.417,https://en.wikipedia.org/wiki/Korea_International_Circuit
zandvoort,Circuit Park Zandvoort,Netherlands,52.3888,Zandvoort,4.54092,https://en.wikipedia.org/wiki/Circuit_Zandvoort
zeltweg,Zeltweg,Austria,47.2039,Styria,14.7478,https://en.wikipedia.org/wiki/Zeltweg_Air_Base
zolder,Zolder,Belgium,50.9894,Heusden-Zolder,5.25694,https://en.wikipedia.org/wiki/Circuit_Zolder
