constructorId,name,nationality,url
de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,https://en.wikipedia.org/wiki/De_Tomaso
de_tomaso-ferrari,De Tomaso-Ferrari,Italian,https://en.wikipedia.org/wiki/De_Tomaso
de_tomaso-osca,De Tomaso-Osca,Italian,https://en.wikipedia.org/wiki/De_Tomaso
deidt,Deidt,American,https://en.wikipedia.org/wiki/Emil_Diedt
del_roy,Del Roy,American,https://en.wikipedia.org/wiki/Frank_DelRoy
derrington,Derrington,British,https://en.wikipedia.org/wiki/Derrington-Francis
dunn,Dunn,American,https://en.wikipedia.org/wiki/Dunn_Engineering
eagle,Eagle,American,https://en.wikipedia.org/wiki/All_American_Racers
eagle-climax,Eagle-Climax,American,https://en.wikipedia.org/wiki/All_American_Racers
eagle-weslake,Eagle-Weslake,American,https://en.wikipedia.org/wiki/All_American_Racers
elder,Elder,American,https://en.wikipedia.org/wiki/Edgar_Elder
emeryson,Emeryson,British,https://en.wikipedia.org/wiki/Emeryson
emw,EMW,East German,https://en.wikipedia.org/wiki/Eisenacher_Motorenwerk
enb,ENB,Belgian,https://en.wikipedia.org/wiki/Écurie_Nationale_Belge
ensign,Ensign,British,https://en.wikipedia.org/wiki/Ensign_Racing
epperly,Epperly,American,https://en.wikipedia.org/wiki/Epperly
era,ERA,British,https://en.wikipedia.org/wiki/English_Racing_Automobiles
eurobrun,Euro Brun,Italian,https://en.wikipedia.org/wiki/EuroBrun
ewing,Ewing,American,https://en.wikipedia.org/wiki/Wayne_Ewing
ferguson,Ferguson,British,https://en.wikipedia.org/wiki/Ferguson_Research
ferrari,Ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari
fittipaldi,Fittipaldi,Brazilian,https://en.wikipedia.org/wiki/Fittipaldi_Automotive
fondmetal,Fondmetal,Italian,https://en.wikipedia.org/wiki/Fondmetal
footwork,Footwork,British,https://en.wikipedia.org/wiki/Footwork_Arrows
force_india,Force India,Indian,https://en.wikipedia.org/wiki/Racing_Point_Force_India
forti,Forti,Italian,https://en.wikipedia.org/wiki/Forti
frazer_nash,Frazer Nash,British,https://en.wikipedia.org/wiki/Frazer_Nash
fry,Fry,British,https://en.wikipedia.org/wiki/Fry_(racing_team)
gilby,Gilby,British,https://en.wikipedia.org/wiki/Gilby
gordini,Gordini,French,https://en.wikipedia.org/wiki/Gordini
haas,Haas F1 Team,American,https://en.wikipedia.org/wiki/Haas_F1_Team
hall,Hall,American,https://en.wikipedia.org/wiki/Hall_(constructor)
hesketh,Hesketh,British,https://en.wikipedia.org/wiki/Hesketh_Racing
hill,Embassy Hill,British,https://en.wikipedia.org/wiki/Embassy_Hill
honda,Honda,Japanese,https://en.wikipedia.org/wiki/Honda_in_Formula_One
hrt,HRT,Spanish,https://en.wikipedia.org/wiki/HRT_Formula_1_Team
hwm,HWM,British,https://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
iso_marlboro,Iso Marlboro,British,https://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars
jaguar,Jaguar,British,https://en.wikipedia.org/wiki/Jaguar_Racing
jbw,JBW,British,https://en.wikipedia.org/wiki/JBW
jordan,Jordan,Irish,https://en.wikipedia.org/wiki/Jordan_Grand_Prix
kauhsen,Kauhsen,German,https://en.wikipedia.org/wiki/Kauhsen
klenk,Klenk,German,https://en.wikipedia.org/wiki/Klenk
kojima,Kojima,Japanese,https://en.wikipedia.org/wiki/Kojima_Engineering
kurtis_kraft,Kurtis Kraft,American,https://en.wikipedia.org/wiki/Kurtis_Kraft
kuzma,Kuzma,American,https://en.wikipedia.org/wiki/Eddie_Kuzma
lago,Talbot-Lago,French,https://en.wikipedia.org/wiki/Talbot-Lago
lambo,Lambo,Italian,https://en.wikipedia.org/wiki/Modena_(racing_team)
